LocName,LocatieLocalitate,LocatieDescriere
17. Băile Romane,Geoagiu Băi HD," Băile Romane nume sub care mai sunt cunoscute cheile Ceții. La o distanță de circa 20 Km de Alba-Iulia cheile au o lungime de doar 100 m dar o gamă de elemente aproape completă pentru carstul de acest tip. Aici se găsesc cele mai mari marmite din țara numite bai romane."
18. Balta Comana (Delta Neajlovului),Comana GR,"Se merge spre Giurgiu; din Adunatii Copaceni este un indicator spre Manastirea Comana care arata sa o luati la stanga.   Dupa ce vizitati manastirea continuati drumul. La un moment dat o drumul asfaltat o ia la stanga intr-o intersectia destul de maricica si aerisita. O luati la stanga pe asfalt veti ajunge la locuintele lacustre. Drumul asfaltat se va termina si va continua cu drum forestier. Se merge pana vedeti in capat o vila cu un gard pe care scrie accesul interzis. In partea dreapta se poate parca pe pamant. Tot acolo se afla si resturile pontonului spre locuintele lacustre. Delta Neajlovului este un obiectiv inclus in plimbarile cu balonul (www.inair.ro).
Obiectivul este inclus in Parcul Natural Comana."
19. Barajul Gâtul Berbecului,Sadu SB,Amplasat la altitudinea de 1150 m pe cursul superior al Sadului are suprafata de 72 ha adîncimea de 58 m si un volum de 6 milioane mc de apa. Apa barajului alimenteaza hidrocentrala Sadu V.
20. Barajul şi Lacul Bâtca Doamnei,Piatra Neamţ NT,Lacul Bâtca Doamnei se află în orasul Piatra Neamţ şi s-a format prin bararea Râului Bistriţa iar apoi îndiguirea laterală pe partea stangă a unui perimetru din albia majoră a râului. Barajul a fost construit în anul 1962 Lacul Bâtca Doamnei fiind alimentat în principal cu apă din lacul de baraj Izvoru Muntelui-Bicaz prin intermediul canalului de aducţiune al Hidrocentralei de la Stejaru la care se adaugă vechiul curs al Râului Bistriţa cu un debit foarte redus precum şi pârâul Doamna afluent de dreapta al lacului. El asigură apă potabilă pentru o parte din locuitorii municipiului Piatra Neamţ. Acest lac este situat la o altitudine de 325 metri şi are o suprafaţă de 235 hectare lungimea sa maximă fiind de 3200 de metri lăţimea maximă de 1050 de metri şi o adâncime maximă 155 metri. Volumul acumulării de apă din Lacul Bâtca Doamnei este de aproximativ 10 milioane metri cubi.
21. Barajul şi Lacul de acumulare Cinciş,Cinciş-Cerna HD,Recunoscut ca zonă de agrement cautată de turişti mai ales pe perioada verii Lacul de acumulare Cinciş ascunde multe legende şi poveşti. Barajul Cinciş (Teliuc) de pe râul Cerna ardeleană a fost realizat în scopul asigurării necesarului de apă industrială a Combinatului Siderurgic Hunedoara care a cunoscut după anul 1948 o dezvoltare impetuoasă în domeniul siderurgic şi metalurgic dar şi pentru producerea energiei electrice şi apărarea împotriva inundaţilor. Amplasamentul barajului a fost ales la circa 65 km în amonte de oraşul Hunedoara pe versantul estic al masivului muntos Poiana Ruscă după confluenţa cu râul Runcu acolo unde condiţiile geo-morfologice au fost cele mai favorabile. Este un baraj de beton în arc cu înălţimea totală este de 48 de metri de la talpa fundaţiei. În secţiunea centrală barajul are 45 m la coronament şi 14 m la bază. Lacul Cinciş este amenajat pe amplasamentul satului Cinciş încă din anul 1962 fiind strămutate peste 800 de familii. Execuţia întregului baraj a durat 14 luni din aprilie 1963 până în mai 1964. Acum lacul oferă un peisaj frumos o atmosferă de linişte lăsând turiştilor posibilitatea să se scalde în apele sale să facă plajă să practice pescuitul sau să se bucure de natură într-un loc ideal. Lacul oferă un peisaj spectaculos deosebit şi rar şi atunci când nivelul apei scade iar în coada barajului apar la iveală ruinele fostei biserici atestată documentar încă din 1360 (ea a fost înghiţită de ape odată cu inundarea locului). Zona este înconjurată de numeroase case de vacanţă sau pensiuni turistice.
22. Barajul şi Lacul de acumulare Drăgan sau Lacul Floroiu,Lunca Vişagului CJ,"Lac în Apuseni Stâna de Vale. Lacul de acumulare Drăgan este situat în judeţul Cluj la intersectia drumurilor forestiere a localităţilor Poieni Huedin Ciucea Stâna de Vale – Lacul Lesul Ursului – Bihor;  este un lac antropic şi unul dintre puţinele locuri rămase autentic sălbatice (nefrecventate de turişti) în biosfera românească aici găsindu-se o vegetaţie de trecere de la foioase la conifere şi o faună formată din căpriori lupi urşi carpatini râşi şi vipere.
Se află la 25 de km de la drumul E60 dacă se intră de la Bucea şi la 20 km dacă se intră între Ciucea şi Poieni. Barajul din beton în arc a fost terminat în 1987 are o înălţime de 120 m iar lungimea coronamentului este de 424 m. Apa lacului se foloseşte pentru producerea de energie electrică pentru atenuarea viiturilor dar şi pentru irigaţii. Drumul forestier de pe lângă lacul de acumulare ajunge la celălalt drum din Valea Iadului la Remeţi. De acolo se poate continua drumul spre Stâna de Vale iar pentru iubitorii drumeţiilor drumul este deschis pentru traseele din Bihor – Vlădeasa."
23. Barajul şi Lacul de acumulare Oaşa,Şugag AB,Oașa este un lac de acumulare pe râul Sebeș la granița județelor Alba și Sibiu în Munții Șureanu. Este situat la altitudinea de 1255 metri cu o suprafață de 460 hectare lungime de aproximativ 6 km având 136 mil. mc de apă şi este cel mai mare dintre lacurile de acumulare amenajate pe cursul râului Sebeș. Pentru ridicarea debitului a fost captat şi râul Ciban. Barajul Oașa amplasat în Defileul Oașei este obiectivul principal al întregii amenajări și a intrat în funcțiune în anul 1979. Este construit din anrocamente (gneise micacee șistoase) cu mască din beton armat. Are înălțimea la coronament de 91 metri lățimea maximă la bază de 250 metri (în zona taluzului) lățimea la coronament de 10 metri și lungimea maximă de 300 metri. În anul 1980 a fost pusă în funcțiune centrala subterană Gâlceag care valorifică potențialul energetic înmagazinat în lacul Oașa. De asemenea prin intermediul Stației de pompare Gâlceag lacul de acumulare Oașa primește tot suplimentar și apele râului Cugirul Mare (zăgăzuite de barajul de la Canciu). Principalii afluenți ai râului Valea Frumoasei (numele râului Sebeș până la vărsarea în lac) sunt: Tărtărău Curpătu Sălănele Smida Valea Mare. Peștele predominant în lacul de acumulare este păstrăvul și crăietele (boiștean). Barajul este traversat de DN67C (Transalpina) care leagă orașele Sebeș și Novaci. În apropierea lacului se află şi Mănăstirea Oaşa iar defileul Oaşei are peisaje deosebite.
24. Barajul şi Lacul de acumulare Râuşor,Pojorâta AG,Lacul de acumulare Râuşor se află între localitatea argeşană Lereşti şi Cabana Voina
25. Barajul şi Lacul de acumulare Valea lui Iovan,Cerna Sat GJ,Lacul Valea lui Iovan sau Lacul Iovan este realizat prin bararea râului Cerna în aval de confluenţa cu Râul Iovanul (Râul Valea lui Iovan se formeză la confluenţa braţelor Godeanu şi Scărişoara) într-o zonă încastrată între culmile sud-estice ale masivului Godeanu şi cele nord-vestice ale masivului Mehedinţi în culoarul Cernei (Valea Cernei). Lacul de acumulare format în spatele barajului are un volum total de 124 mil. mc. Suprafaţa lacului este 292 hectare oferind un peisaj splendid într-o zonă cu o naturaleţe aparte. Lacul este inclus în Parcul Naţional Domogled – Valea Cernei
26. Barajul Siriu (Buzău),Siriu BZ,"Comuna Siriu este situată în partea nord-estică a județului Buzău în Muntenia. Este amplasată pe Valea Buzăului aflându-se în preajmă Lacul de Acumulare al Barajului Siriu.  
  La barajul de la Siriu se ajunge destul de ușor. Pe drumul de la Brașov înspre Buzău după aproximativ 80 km se deschide o întindere de apă ce pare infinită. Lacul de acumulare Siriu este un lac artificial amplasat pe cursul superior al Buzăului. Lacul finalizat în anul 1985 are o lungime de 10 km și este destinat pentru producerea energiei electrice în hidrocentrala de 42MW. Barajul Siriu este un baraj de pământ amplasat pe râul Buzău între masivul Podul Calului și masivul Siriu. Barajul este alcătuit din miez de argilă rocă și steril. "
27. Barajul Vidra,Voineasa VL,Barajul Vidra este amplasat pe râul Lotru în cheile Vidra la 30 km amonte de staţiunea Voineasa. Reprezintă principala amenajare din cadrul schemei de amenajare a râului Lotru.
28. Barul din Brădeşti Râmeţ,Brădeşti AB,"O cititoare îl descria ""Cel mai minunat loc dacă urci dinspre Cheile Râmeţului într-o zi superbă de vară"". Este o locaţie izolată din zona Râmeţ. Zona e numai bună de vizitat cu rucsacul în spate."
29. Beliş Fântânele,Beliş CJ,Beliș este o comună de munte din județul Cluj Transilvania România situată la aproximativ 80 km vest de Cluj-Napoca și circa 30 km sud de Huedin. Se poate ajunge în zonă pe calea ferată până la gara din Huedin iar de acolo cu transport auto. Mai ușor se ajunge pe șosea pe drumul european E60 Oradea-Cluj-Brașov cu deviere spre lacul Fântânele. Stațiunea Beliș Fântânele este o stațiune climaterică permanentă la 1050m altitudine situată pe malul lacului cu același nume la întâlnirea M-ților Gilău cu M-ții Bihor. Stațiunea este recomandată în tratarea anemiei și nevrozei astenice. Amatorii de schi pot utiliza pârtiile naturale din apropiere
30. Biseica de lemn Adormirea Maicii Domnului,Săcălășeni MM,A fost ridicată în secolul al XVII-lea în mijlocul cimitirului respectând caracteristicile bisericilor de lemn maramureșene. Este situată în județul Maramureș comuna Săcălășeni satul Săcălășeni la10 km de municipiul Baia Mare.
31. Biserica Arhangheli Mihail și Gavril,Buzești MM,A fost ridicată în 1739 cu concepție structurală de excepție. Este situată în județul Maramureș comuna Fărcașa satul Buzești la  25 km de municipiul Baia Mare
32. Biserica cu Lună,Oradea BH,Biserica cu Lună cunoscută și sub denumirea Catedrala Adormirea Maicii Domnului este o biserică creștin-ortodoxă aflată în Oradea construită între anii 1784-1790. A fost denumită astfel datorită unui mecanism unic în Europa aflat pe turla bisericii care are menirea de a pune în mișcare o sferă cu diametrul de 3 m de forma lunii vopsită jumătate în negru jumătate în auriu. Această sferă se deplasează după mișcarea de rotație a Lunii în jurul Pământului și arată prin rotirea sa toate fazele Lunii.
33. Biserica cu picturi murale a Mănăstirii Voroneţ (Patrimoniul UNESCO) zzzz,Voroneţ SV,"Ea constituie una dintre cele mai valoroase ctitorii ale lui Ștefan cel Mare. Biserica a fost ridicată în anul 1488 în numai patru luni și jumătate ceea ce constituie un record pentru acea vreme.
Viata monahală s-a întrerupt in anul 1785 dupa anexarea Bucovinei la Imperiul Habsburgic și s-a reluat în anul 1991.
Curiozitate: O candelă aprinsă veghează mormântul Sfântului Daniil Sihastru de unde obștea mănăstirii ia binecuvântarea pentru slujbele de: dimineață după-amiază și de la miezul nopții.
Mănăstirea a devenit celebră datorită picturii deosebite şi a tonului de albastru care rămâne un mister şi este denumit Albastrul de Voroneţ. Aceasta este şi principala atracţie a mănăstirii. O mare parte din pictură este cea originală din vremea lui Ştefan cel Mare."
34. Biserica de la Densuş,Densuş HD,Biserica Sfântul Nicolae din Densuș este una din cele mai vechi biserici din România în care serviciul liturgic se desfășoară neîntrerupt până în prezent. Edificiul a fost ridicat în secolul al XIII-lea în stil romanic pe ruinele unei construcții din antichitate (sec. IV). De plan pătrat (cca 6 x 6 m) naosul este străpuns de un turn în jurul căruia se află un spațiu îngust acoperit cu o boltă de sprijin. Spre est se află o absidă semicirculară atât la interior cât și la exterior având pe latura sudică un diaconicon de mari dimensiuni. Acoperișul întregii construcții este din plăci de piatră. Încăperi anexe au fost adăugate pe latura sudică în sec. XIV-XV. Construită din pietre fasonate romane aduse din ruinele din apropiere biserica are o înfățișare ciudată care nu ascunde însă amprentele stilistice ale romanicului târziu. Valoroasele fragmente de pictură murală datând din 1443 opera unei echipe de maeștri în frunte cu Ștefan unul din primii zugravi români cunoscuți vădesc strânse legături stilistice cu picturile de epocă din Țara Românească. Lăcașul a fost folosit ca biserică de către românii care au îmbrățișat calvinismul iar după unirea românilor transilvăneni cu Biserica Romei a devenit biserică greco-catolică. În 1948 odată cu interzicerea Bisericii Române Unite cu Roma lăcașul a fost trecut de autoritățile comuniste în folosința Bisericii Ortodoxe Române.
35. Biserica de lemn Adormirea Maicii Domnului,Rona de Jos MM,Biserica de lemn Nașterea Maicii Domnului a fost ridicată la 1655 ca lăcaș de cult mănăstiresc fiind strămutată pe actualul amplasament pe la 1720 de către nobilul localnic Samuel Lipcei fost jurat de maramureș. Este situată în județul Maramureș comuna Rona de Jos satul Rona de Jos pe Valea Izei la 12 km de municipiul Sighetu Marmației.
36. Biserica de lemn Adormirea Maicii Domnului,Șieu MM,A fost ridicată pe la 1760 și face parte din grupul lăcașelor de cult de tip maramureșean. Este situată în județul Maramureș comuna Șieu satul Șieu pe valea Izei la 35 km de municipiul Sighetu Marmației și 45 km de orașul Borșa.
37. Biserica de lemn Adormirea Maicii Domnului (Susani),Călinești MM,A fost ridicată în anul 1784 de meșteri din dreapta Tisei în stil moldovenesc. Este situată în județul Maramureș comuna Călinești satul Călinești la 30 km de municipiul Sighetu Marmației.
38. Biserica de lemn Cuvioasa Paraschiva,Rogoz MM,A fost construită la 1883 de către comunitatea greco catolică care a cumpărat-o din localitatea Suciu de Sus unde ființa de pe la 1695. Este situată în județul Maramureș satul Rogoz sat aparținător de orașul Târgu Lăpuș la 6 km de orașul Târgu Lăpuș.
39. Biserica de lemn Cuvioasa Paraschiva,Șugatag MM,A fost ridicată la 1642 pe locul alteia mai vechi. Este situată în județul Maramureș comuna Ocna Șugatag satul Șugatag la 20 km de municipiul Sighetu Marmației (Drumul Național 18).
40. Biserica de lemn Cuvioasa Paraschiva,Valea Stejarului MM,A fost ridicată pe la 1630. Este situată în județul Maramureș comuna Vadu Izei satul Valea Stejarului pe Valea Izei la 14 km de municipiul Sighetu Marmației (la 3 km de Drumul Național 18).
41. Biserica de lemn din Bârsana (Patrimoniul UNESCO),Bârsana MM,"Biserica de lemn a vechii mănăstiri a Bârsanei se află azi în satul Bârsana comuna Bârsana în județul Maramureș pe dealul numit Jbâr. Această biserică (monument istoric) nu trebuie confundată cu noua biserică de lemn din actualul complex monahal ""Mănăstirea Bârsana"" aflată la câțiva km distanță pe locul unde s-a aflat aproximativ între anii 1739-1795 biserica tratată aici. Datează din anul 1711 și are hramul „Intrarea Maicii Domnului în Biserică”. Chiar dacă e mai mică la mărime prin arhitectura este se încadrează în stilul clasic al Maramureșului. Biserica se află pe noua listă a monumentelor istorice sub codul LMI: MM-II-m-A-04517 și a fost inclusă pe lista de patrimoniu cultural mondial UNESCO împreună cu alte șapte biserici din județul Maramureș în decembrie 1999.
Bisericile de lemn din Budești Josani Desești Bârsana Poienile Izei și Ieud Deal se află în Maramureșul istoric cele de la Șurdești și Plopiș sunt din vechea Țară a Chioarului iar Biserica Sf. Arhangheli din Rogoz este situată în Țara Lăpușului."
42. Biserica de lemn din Budești-Josani (Patrimoniul UNESCO),Budești MM,"Biserica de lemn din Budești-Josani este o biserică de lemn maramureșeană în cheotori datată 1643. Se află în satul Budești comuna Budești județul Maramureș și este considerată o construcție ""magnifică"" pentru epoca sa și mult timp după aceea. Are un plan dreptunghiular cu absida poligonală decroșată iar picturile murale populare sunt datate din anul 1762. Biserica a fost inclusă pe lista patrimoniului mondial al UNESCO în decembrie 1999 și se află pe lista monumentelor istorice cu codul LMI: MM-II-m-A-04530. Biserica de lemn din Budești-Josani are hramul Sfântului Nicolae încă din anul datării sale 1643.
În biserică se păstrează de asemenea un mare număr de icoane pe lemn datând din sec. XVII-XVIII și se pare chiar mai vechi precum și o valoroasă colecție de icoane pe sticlă. Printre icoanele cele mai interesante este aceea a Sf. Ioan Botezătorul care aparținea unei biserici ridicate înainte de sec XV; o inscripție în slavonă într-un colț spune că această sfântă icoană s-a făcut de mult greșitul Gheorghe”.
În interior se păstrază o parte din zalele lui Pintea Viteazul haiduc legendar al Maramureșului care zice-se și-a lăsat el însuși în grija bisericii cămașa de zale și coiful după lupta contra tătarilor în 1717.
Bisericile de lemn din Budești-Josani Desești Bârsana Poienile Izei și Ieud Deal se află în Maramureșul istoric cele de la Șurdești și Plopiș sunt din vechea Țară a Chioarului iar Biserica Sf. Arhangheli din Rogoz e situată în Țara Lăpușului."
43. Biserica de lemn din Desești (Patrimoniul UNESCO),Desești MM,"Biserica de lemn Sf. Paraschiva din Desești a fost inclusă în decembrie 1999 pe lista patrimoniului mondial UNESCO împreună cu alte șapte biserici din județul Maramureș. Biserica din satul Desești comuna Desești județul Maramureș reprezintă “unul din monumentele caracteristice Maramureșului secolului al XVIII-lea” (1770).  De-a lungul anilor 1996 1997 și 1998 s-au derulat ample lucrări de restaurare care au vizat atât arhitectura cât și pictura parietală. Biserica se află pe noua listă a monumentelor istorice cu codul LMI: MM-II-m-A-04566.
Bisericile de lemn din Budești-Josani Desești Bârsana Poienile Izei și Ieud Deal se află în Maramureșul istoric cele de la Șurdești și Plopiș sunt din vechea Țară a Chioarului iar Biserica Sf. Arhangheli din Rogoz e situată în Țara Lăpușului."
44. Biserica de lemn din Ieud Deal (Patrimoniul UNESCO),Ieud MM,"Biserica veche din deal de la Ieud a fost construită de familia nobilă locală Balea la începutul secolului al XVII-lea. Biserica datatå din a doua decadă a secolului al XVII-lea fiind cu un secol mai veche decât biserica de lemn din șes a doua biserică de lemn din sat și una dintre cele mai vechi păstrate în Maramureș. În austeritatea ei exterioară încălzită în interior de cioplitura consolelor și de culorile vii ale picturii murale biserica de lemn din Ieud Deal reprezintă un vârf al artei și tehnicii de a construi biserici de lemn în Maramureș. Valoarea ei este dublată de un ansamblu pictural de cea mai bună calitate cea mai reprezentativă operă a cunoscutului zugrav itinerant local Alexandru Ponehalschi. Monumentul poartă hramul Nașterea Maicii Domnului și a fost inclus pe lista patrimoniului mondial UNESCO în decembrie 1999 aflându-se și pe noua listă a monumentelor istorice cu codul LMI: MM-II-m-A-04588. Se află în satul Ieud comuna Ieud județul Maramureș.
Bisericile de lemn din Budești-Josani Desești Bârsana Poienile Izei și Ieud Deal se află în Maramureșul istoric cele de la Șurdești și Plopiș sunt din vechea Țară a Chioarului iar Biserica Sf. Arhangheli din Rogoz e situată în Țara Lăpușului."
45. Biserica de lemn din Plopiș (Patrimoniul UNESCO),Plopiș MM,"Biserica de lemn din Plopiș comuna Șișești județul Maramureș datează din anul 1798. Are hramul „Sfinții Arhangheli Mihail și Gavriil” și se află pe noua listă a monumentelor istorice sub codul LMI: MM-II-m-A-04604. În decembrie 1999 a fost inclusă în patrimoniul mondial UNESCO. Biserica de lemn din Plopiș face parte din ""Țara Chioarului"" și prezintă analogii cu biserica din Șurdești cum ar fi acoperișul ușor lasăt deasupra altarului cele patru turnulețe dimprejurul turnului subțire al clopotniței și anumite elemente decorative sculptate la exterior. Pictura interioară a fost realizată în 1811 de către artistul localnic Ștefan și este încă păstrată în anumite locuri.
Bisericile de lemn din Budești-Josani Desești Bârsana Poienile Izei și Ieud Deal se află în Maramureșul istoric cele de la Șurdești și Plopiș sunt din vechea Țară a Chioarului iar Biserica Sf. Arhangheli din Rogoz e situată în Țara Lăpușului."
