Schonbrunner Gardens;10,130 reviews;#1 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d319310-Reviews-Schonbrunner_Gardens-Vienna.html;['Nature & Parks', 'Sights & Landmarks', 'Gardens', 'Historic Walking Areas'];Closed NowHours Today: 8:30 AM - 7:00 PMSee all hours;['Sun - Sat', '8:30 AM - 7:00 PM'];;48.183338;16.300190;
Prater;9,689 reviews;#12 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d245668-Reviews-Prater-Vienna.html;['Nature & Parks', 'Water & Amusement Parks', 'Theme Parks'];Vienna's landmark amusement park features the familiar 65-meter-high Giant Ferris Wheel that towers over the park's 200 booths, ghost train, go-karts, merry-go-rounds plus a Plantarium and the famous Schweizerhaus and many other great restaurants.;['Sun - Sat', '12:00 AM - 11:59 PM'];59 PMSee all hours;48.216728;16.398027;
Augarten;139 reviews;#13 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d2235140-Reviews-Augarten-Vienna.html;['Nature & Parks', 'Gardens'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.219170;16.379950;
Botanischer Garten (Botanical Garden of the University of Vienna);155 reviews;#14 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d319281-Reviews-Botanischer_Garten_Botanical_Garden_of_the_University_of_Vienna-Vienna.html;['Nature & Parks', 'Gardens'];;[];;48.195202;16.383699;
Cemetery of St. Marx (Friedhof St. Marx);104 reviews;#15 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d590746-Reviews-Cemetery_of_St_Marx_Friedhof_St_Marx-Vienna.html;['Nature & Parks', 'Sights & Landmarks', 'Cemeteries'];;[];;48.183998;16.403120;
Turkenschanzpark;54 reviews;#16 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d3242912-Reviews-Turkenschanzpark-Vienna.html;['Nature & Parks'];;[];;48.237091;16.337740;
Blumengaerten Hirschstetten;64 reviews;#17 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d3559599-Reviews-Blumengaerten_Hirschstetten-Vienna.html;['Nature & Parks', 'Gardens'];Closed NowHours Today: 10:00 AM - 8:00 PMSee all hours;['Sun', '10:00 AM - 6:00 PM', 'Tue - Thu', '10:00 AM - 6:00 PM', 'Fri - Sat', '10:00 AM - 8:00 PM'];;48.236656;16.472712;
Prater;65 reviews;#18 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d5966675-Reviews-Prater-Vienna.html;['Nature & Parks', 'Fun & Games', 'Game & Entertainment Centers'];Open NowHours Today: 6:00 AM - 9:00 AM, 10:00 AM - 12:00 AMSee all hours;['Sun - Sat', '10:00 AM - 12:00 AM', 'Thu', '6:00 AM - 9:00 AM', 'Sat', '6:00 AM - 9:00 AM'];;48.216400;16.398630;
Danube Canal (Donau Kanal);443 reviews;#19 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d191404-Reviews-Danube_Canal_Donau_Kanal-Vienna.html;['Sights & Landmarks', 'Nature & Parks', 'Historic Walking Areas', 'Bodies of Water'];This offshoot of the Danube River flows through the city just north of the downtown area and, with paved pathways lining its banks, makes for a pleasant stroll.;[];;48.206997;16.442047;
Waldseilpark Kahlenberg;48 reviews;#20 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d8445063-Reviews-Waldseilpark_Kahlenberg-Vienna.html;['Fun & Games', 'Nature & Parks', 'Playgrounds', 'Game & Entertainment Centers'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.276470;16.333330;
Belvederegarten;5 reviews;#21 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d19112638-Reviews-Belvederegarten-Vienna.html;['Nature & Parks', 'Gardens'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.189289;16.382000;
Potzleinsdorfer Schlosspark;24 reviews;#22 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d4503034-Reviews-Potzleinsdorfer_Schlosspark-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.243599;16.303970;
Rathauspark;26 reviews;#23 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d13983155-Reviews-Rathauspark-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.208981;16.357821;
Setagaya Park;39 reviews;#24 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d3598346-Reviews-Setagaya_Park-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.253922;16.363291;
Badeteich Hirschtetten;1 review;#25 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d19244570-Reviews-Badeteich_Hirschtetten-Vienna.html;['Nature & Parks', 'Bodies of Water'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.241409;16.479429;
Kurpark Oberlaa;25 reviews;#26 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d7597926-Reviews-Kurpark_Oberlaa-Vienna.html;['Nature & Parks', 'Nature & Wildlife Areas', 'Gardens'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.142570;16.403811;
Krapfenwaldlbad Swimming Pool;17 reviews;#27 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d10676234-Reviews-Krapfenwaldlbad_Swimming_Pool-Vienna.html;['Nature & Parks', 'Fun & Games', 'Playgrounds', 'Bodies of Water'];Closed NowHours Today: 8:00 AM - 7:00 PMSee all hours;['Sun - Sat', '8:00 AM - 7:00 PM'];;48.266750;16.332380;
Hohe Wand Wiese;18 reviews;#28 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d245427-Reviews-Hohe_Wand_Wiese-Vienna.html;['Outdoor Activities', 'Nature & Parks', 'Ski & Snowboard Areas'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.229481;16.202251;
Motorikpark Wien;20 reviews;#29 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d8135308-Reviews-Motorikpark_Wien-Vienna.html;['Nature & Parks', 'Fun & Games', 'Game & Entertainment Centers', 'Playgrounds'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.254539;16.478621;
The Butterfly House;45 reviews;#30 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d15263011-Reviews-The_Butterfly_House-Vienna.html;['Nature & Parks', 'Zoos & Aquariums', 'Outdoor Activities'];;[];;48.205338;16.366558;
Palais Lichtenstein;22 reviews;#31 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d10760303-Reviews-Palais_Lichtenstein-Vienna.html;['Nature & Parks', 'Gardens'];;[];;48.222450;16.359659;
Sigmund-Freud-Park;69 reviews;#32 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d8628225-Reviews-Sigmund_Freud_Park-Vienna.html;['Nature & Parks'];;[];;48.214169;16.358690;
Arenbergpark;19 reviews;#33 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d6727478-Reviews-Arenbergpark-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.197670;16.391701;
Gruner Prater;10 reviews;#34 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d10338821-Reviews-Gruner_Prater-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.208862;16.372383;
Privy Garden / Kronprinzengarten de Schonbrunn;40 reviews;#35 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d10377935-Reviews-Privy_Garden_Kronprinzengarten_de_Schonbrunn-Vienna.html;['Nature & Parks', 'Gardens'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.179401;16.316071;
Orangery at Schoenbrunn Palace;260 reviews;#36 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d245539-Reviews-Orangery_at_Schoenbrunn_Palace-Vienna.html;['Sights & Landmarks', 'Nature & Parks', 'Historic Sites', 'Points of Interest & Landmarks', 'Nature & Wildlife Areas'];The Viennese Orangery was used as a location for magnificent festivities as far back as the days of the emperor. We are continuing this tradition! The musical performance of the well known Schoenbrunn Palace Orchestra accompanied by masterful...more;['Sun - Sat', '9:00 AM - 10:30 PM'];;48.185165;16.317505;
Copa Beach;6 reviews;#37 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d14209177-Reviews-Copa_Beach-Vienna.html;['Outdoor Activities', 'Nature & Parks', 'Beaches'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.208862;16.372383;
Landgut Wien Cobenzl;7 reviews;#38 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d10661111-Reviews-Landgut_Wien_Cobenzl-Vienna.html;['Nature & Parks', 'Outdoor Activities', 'Zoos & Aquariums'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.264359;16.320601;
Resselpark;25 reviews;#39 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d13418183-Reviews-Resselpark-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.199291;16.368320;
Schillerpark;11 reviews;#40 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d13419030-Reviews-Schillerpark-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.201771;16.365311;
Votivpark;8 reviews;#41 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d13983008-Reviews-Votivpark-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.215900;16.362160;
Wientalradweg;10 reviews;#42 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d2686751-Reviews-Wientalradweg-Vienna.html;['Outdoor Activities', 'Nature & Parks', 'Biking Trails'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.205769;16.229710;
Floridsdorfer Waterpark;6 reviews;#43 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d8842787-Reviews-Floridsdorfer_Waterpark-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.246899;16.395590;
Tora-San Park;7 reviews;#44 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d7068626-Reviews-Tora_San_Park-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.251900;16.399630;
Hermann-Gmeiner Park;9 reviews;#45 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d10275758-Reviews-Hermann_Gmeiner_Park-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.214310;16.366421;
Rosenpark;5 reviews;#46 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d8619852-Reviews-Rosenpark-Vienna.html;['Nature & Parks', 'Fun & Games', 'State Parks', 'Playgrounds'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.223900;16.405350;
Schwarzenbergpark;1 review;#47 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d17383919-Reviews-Schwarzenbergpark-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.238110;16.285130;
Schwarzenberg Park;2 reviews;#48 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d14090926-Reviews-Schwarzenberg_Park-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.251411;16.275471;
Waringer Park;5 reviews;#49 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d10748079-Reviews-Waringer_Park-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.227371;16.339067;
Ostarrichipark;4 reviews;#50 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d13983149-Reviews-Ostarrichipark-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.216049;16.354290;
Rudolf Bednar Park;4 reviews;#51 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d8602706-Reviews-Rudolf_Bednar_Park-Vienna.html;['Fun & Games', 'Nature & Parks', 'Playgrounds', 'Gardens'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.225281;16.399099;
Weinwanderweg;3 reviews;#52 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d12592870-Reviews-Weinwanderweg-Vienna.html;['Outdoor Activities', 'Nature & Parks', 'Hiking Trails'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.251060;16.301189;
Liesinger Bad;4 reviews;#53 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d8492044-Reviews-Liesinger_Bad-Vienna.html;['Fun & Games', 'Water & Amusement Parks', 'Nature & Parks', 'Playgrounds', 'Water Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.132740;16.281080;
The Danube Wetlands;4 reviews;#54 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d245624-Reviews-The_Danube_Wetlands-Vienna.html;['Nature & Parks', 'Nature & Wildlife Areas', 'National Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.208862;16.372383;
Doll-Wiese;1 review;#55 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d240962-Reviews-Doll_Wiese-Vienna.html;['Outdoor Activities', 'Nature & Parks', 'Ski & Snowboard Areas'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.182121;16.260889;
Kaiserwasser;1 review;#56 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d17690152-Reviews-Kaiserwasser-Vienna.html;['Nature & Parks', 'Bodies of Water'];Closes in 26 minHours Today: 12:00 AM - 11:59 PMSee all hours;['Sun - Sat', '12:00 AM - 11:59 PM'];;48.208862;16.372383;
Florianipark;3 reviews;#57 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d13983005-Reviews-Florianipark-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.211845;16.355471;
Weghuberpark;2 reviews;#58 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d11779851-Reviews-Weghuberpark-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.207260;16.347321;
Arbeiterinnenstrand;2 reviews;#59 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d12952849-Reviews-Arbeiterinnenstrand-Vienna.html;['Nature & Parks', 'Bodies of Water'];Closes in 26 minHours Today: 12:00 AM - 11:59 PMSee all hours;['Sun - Sat', '12:00 AM - 11:59 PM'];;48.243290;16.414410;
Esperantopark;9 reviews;#60 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d10204412-Reviews-Esperantopark-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.200390;16.371059;
Grete-Rehor-Park;3 reviews;#61 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d13552582-Reviews-Grete_Rehor_Park-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.248840;16.447620;
Schonbornpark;3 reviews;#62 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d13983961-Reviews-Schonbornpark-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.212399;16.350630;
Modenapark;4 reviews;#63 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d13418083-Reviews-Modenapark-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.199520;16.381880;
Der Wiener Wallfahrerweg;;;https://www.tripadvisor.com//Attraction_Review-g190454-d12590389-Reviews-Der_Wiener_Wallfahrerweg-Vienna.html;['Outdoor Activities', 'Nature & Parks', 'Hiking Trails'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.208862;16.372383;
